"x","y","seagrass_reef_ras"
-88.045,17.385,830.160017225482
-87.975,17.385,NA
-87.905,17.385,762.637512207034
-87.835,17.385,949.04497612847
-87.765,17.385,NA
-87.695,17.385,NA
-87.625,17.385,NA
-87.555,17.385,346.127506680099
-87.485,17.385,729.494995117182
-87.415,17.385,250.209998236767
-88.465,17.315,NA
-88.395,17.315,NA
-88.325,17.315,NA
-88.255,17.315,NA
-88.185,17.315,535.649991869876
-88.115,17.315,986.767517089832
-88.045,17.315,686.362476772953
-87.975,17.315,153.927499877351
-87.905,17.315,861.082509358726
-87.835,17.315,944.357513427707
-87.765,17.315,292.440005832245
-87.695,17.315,NA
-87.625,17.315,NA
-87.555,17.315,765.672522650824
-87.485,17.315,334.350006103516
-87.415,17.315,NA
-88.465,17.245,NA
-88.395,17.245,NA
-88.325,17.245,NA
-88.255,17.245,NA
-88.185,17.245,0.899999976158142
-88.115,17.245,157.635003089887
-88.045,17.245,425.01750055977
-87.975,17.245,661.545013427731
-87.905,17.245,880.920013427726
-87.835,17.245,484.117511749185
-87.765,17.245,NA
-87.695,17.245,NA
-87.625,17.245,58.5
-87.555,17.245,840.554987589421
-87.485,17.245,108.225000381467
-87.415,17.245,NA
-88.465,17.175,NA
-88.395,17.175,NA
-88.325,17.175,NA
-88.255,17.175,NA
-88.185,17.175,1.88999998569489
-88.115,17.175,61.5750007629389
-88.045,17.175,203.170001983899
-87.975,17.175,NA
-87.905,17.175,660.742502848297
-87.835,17.175,100.545000076224
-87.765,17.175,NA
-87.695,17.175,NA
-87.625,17.175,391.227506849394
-87.555,17.175,228.195004781069
-87.485,17.175,NA
-87.415,17.175,NA
-88.465,17.105,NA
-88.395,17.105,NA
-88.325,17.105,NA
-88.255,17.105,NA
-88.185,17.105,1.4799999925825
-88.115,17.105,362.610005696621
-88.045,17.105,446.70250193283
-87.975,17.105,NA
-87.905,17.105,NA
-87.835,17.105,NA
-87.765,17.105,NA
-87.695,17.105,NA
-87.625,17.105,31.2299995422363
-87.555,17.105,NA
-87.485,17.105,NA
-87.415,17.105,NA
-88.465,17.035,NA
-88.395,17.035,NA
-88.325,17.035,NA
-88.255,17.035,NA
-88.185,17.035,1.75500005483626
-88.115,17.035,162.990004539483
-88.045,17.035,466.469993591292
-87.975,17.035,109.215002059945
-87.905,17.035,NA
-87.835,17.035,NA
-87.765,17.035,NA
-87.695,17.035,NA
-87.625,17.035,NA
-87.555,17.035,NA
-87.485,17.035,NA
-87.415,17.035,NA
-88.465,16.965,NA
-88.395,16.965,NA
-88.325,16.965,NA
-88.255,16.965,NA
-88.185,16.965,NA
-88.115,16.965,356.445002237966
-88.045,16.965,492.515006171361
-87.975,16.965,NA
-87.905,16.965,NA
-87.835,16.965,NA
-87.765,16.965,NA
-87.695,16.965,NA
-87.625,16.965,NA
-87.555,16.965,NA
-87.485,16.965,NA
-87.415,16.965,NA
-88.465,16.895,NA
-88.395,16.895,NA
-88.325,16.895,NA
-88.255,16.895,NA
-88.185,16.895,NA
-88.115,16.895,465.104997560383
-88.045,16.895,92.7725022635525
-87.975,16.895,NA
-87.905,16.895,NA
-87.835,16.895,NA
-87.765,16.895,953.752467685357
-87.695,16.895,495.457509358735
-87.625,16.895,NA
-87.555,16.895,NA
-87.485,16.895,NA
-87.415,16.895,NA
-88.465,16.825,NA
-88.395,16.825,NA
-88.325,16.825,NA
-88.255,16.825,NA
-88.185,16.825,55.4099985758356
-88.115,16.825,618.614990234375
-88.045,16.825,38.8800001144409
-87.975,16.825,NA
-87.905,16.825,NA
-87.835,16.825,744.104988098267
-87.765,16.825,545.167500813855
-87.695,16.825,NA
-87.625,16.825,NA
-87.555,16.825,NA
-87.485,16.825,NA
-87.415,16.825,NA
-88.465,16.755,NA
-88.395,16.755,NA
-88.325,16.755,NA
-88.255,16.755,NA
-88.185,16.755,89.8600018818778
-88.115,16.755,480.247497558591
-88.045,16.755,90.6600011189825
-87.975,16.755,NA
-87.905,16.755,215.819996754332
-87.835,16.755,668.25752088758
-87.765,16.755,297.550004747171
-87.695,16.755,NA
-87.625,16.755,NA
-87.555,16.755,NA
-87.485,16.755,NA
-87.415,16.755,NA
-88.465,16.685,NA
-88.395,16.685,NA
-88.325,16.685,NA
-88.255,16.685,NA
-88.185,16.685,225.217499203115
-88.115,16.685,468.735005696611
-88.045,16.685,419.440002441353
-87.975,16.685,NA
-87.905,16.685,NA
-87.835,16.685,NA
-87.765,16.685,NA
-87.695,16.685,NA
-87.625,16.685,NA
-87.555,16.685,NA
-87.485,16.685,NA
-87.415,16.685,NA
-88.465,16.615,NA
-88.395,16.615,NA
-88.325,16.615,28.7099990844727
-88.255,16.615,NA
-88.185,16.615,333.240001678417
-88.115,16.615,581.445007324219
-88.045,16.615,418.754994710413
-87.975,16.615,NA
-87.905,16.615,NA
-87.835,16.615,NA
-87.765,16.615,NA
-87.695,16.615,NA
-87.625,16.615,NA
-87.555,16.615,NA
-87.485,16.615,NA
-87.415,16.615,NA
-88.465,16.545,NA
-88.395,16.545,NA
-88.325,16.545,8.45999979972839
-88.255,16.545,15.8799994256776
-88.185,16.545,227.617501735722
-88.115,16.545,322.889998912811
-88.045,16.545,605.297498067214
-87.975,16.545,332.910003662109
-87.905,16.545,NA
-87.835,16.545,NA
-87.765,16.545,NA
-87.695,16.545,NA
-87.625,16.545,NA
-87.555,16.545,NA
-87.485,16.545,NA
-87.415,16.545,NA
-88.465,16.475,NA
-88.395,16.475,4.49999992052569
-88.325,16.475,252.982507069905
-88.255,16.475,255.697495354527
-88.185,16.475,70.1150008307503
-88.115,16.475,225.847503453489
-88.045,16.475,594.359988742331
-87.975,16.475,208.440002441406
-87.905,16.475,NA
-87.835,16.475,NA
-87.765,16.475,NA
-87.695,16.475,NA
-87.625,16.475,NA
-87.555,16.475,NA
-87.485,16.475,NA
-87.415,16.475,NA
-88.465,16.405,NA
-88.395,16.405,72.5324993133501
-88.325,16.405,391.882499694821
-88.255,16.405,140.820000966348
-88.185,16.405,49.5225000381348
-88.115,16.405,615.015007019057
-88.045,16.405,477.697489420686
-87.975,16.405,NA
-87.905,16.405,NA
-87.835,16.405,NA
-87.765,16.405,NA
-87.695,16.405,NA
-87.625,16.405,NA
-87.555,16.405,NA
-87.485,16.405,NA
-87.415,16.405,NA
-88.465,16.335,NA
-88.395,16.335,55.3000002701947
-88.325,16.335,191.09249941509
-88.255,16.335,57.4449990193113
-88.185,16.335,274.729994455968
-88.115,16.335,801.929973920156
-88.045,16.335,NA
-87.975,16.335,NA
-87.905,16.335,NA
-87.835,16.335,NA
-87.765,16.335,NA
-87.695,16.335,NA
-87.625,16.335,NA
-87.555,16.335,NA
-87.485,16.335,NA
-87.415,16.335,NA
-88.465,16.265,24.260000440812
-88.395,16.265,74.5175015131611
-88.325,16.265,52.4324989318842
-88.255,16.265,29.5275003645126
-88.185,16.265,866.807523091547
-88.115,16.265,NA
-88.045,16.265,NA
-87.975,16.265,NA
-87.905,16.265,NA
-87.835,16.265,NA
-87.765,16.265,NA
-87.695,16.265,NA
-87.625,16.265,NA
-87.555,16.265,NA
-87.485,16.265,NA
-87.415,16.265,NA
-88.465,16.195,42.3000018596657
-88.395,16.195,222.585002899161
-88.325,16.195,196.537500321867
-88.255,16.195,280.049990336124
-88.185,16.195,60.2999992370605
-88.115,16.195,NA
-88.045,16.195,NA
-87.975,16.195,NA
-87.905,16.195,NA
-87.835,16.195,NA
-87.765,16.195,NA
-87.695,16.195,NA
-87.625,16.195,NA
-87.555,16.195,NA
-87.485,16.195,NA
-87.415,16.195,NA
-88.465,16.125,0.735000004370865
-88.395,16.125,282.579993777799
-88.325,16.125,227.895005544028
-88.255,16.125,228.330006334536
-88.185,16.125,NA
-88.115,16.125,NA
-88.045,16.125,NA
-87.975,16.125,NA
-87.905,16.125,NA
-87.835,16.125,NA
-87.765,16.125,NA
-87.695,16.125,NA
-87.625,16.125,NA
-87.555,16.125,NA
-87.485,16.125,NA
-87.415,16.125,NA
-88.465,16.055,NA
-88.395,16.055,149.850006103516
-88.325,16.055,154.357495625816
-88.255,16.055,NA
-88.185,16.055,NA
-88.115,16.055,NA
-88.045,16.055,NA
-87.975,16.055,NA
-87.905,16.055,NA
-87.835,16.055,NA
-87.765,16.055,NA
-87.695,16.055,NA
-87.625,16.055,NA
-87.555,16.055,NA
-87.485,16.055,NA
-87.415,16.055,NA
-88.465,15.985,NA
-88.395,15.985,NA
-88.325,15.985,NA
-88.255,15.985,NA
-88.185,15.985,NA
-88.115,15.985,NA
-88.045,15.985,NA
-87.975,15.985,NA
-87.905,15.985,NA
-87.835,15.985,NA
-87.765,15.985,NA
-87.695,15.985,NA
-87.625,15.985,NA
-87.555,15.985,NA
-87.485,15.985,NA
-87.415,15.985,NA
