"x","y",""
-87.975,17.315,9.99
-87.905,17.315,NA
-87.835,17.315,NA
-87.765,17.315,NA
-87.695,17.315,NA
-87.625,17.315,NA
-87.555,17.315,141.84
-87.485,17.315,NA
-87.415,17.315,NA
-88.465,17.245,NA
-88.395,17.245,NA
-88.325,17.245,NA
-88.255,17.245,NA
-88.185,17.245,NA
-88.115,17.245,NA
-88.045,17.245,302.67
-87.975,17.245,NA
-87.905,17.245,NA
-87.835,17.245,172.98
-87.765,17.245,NA
-87.695,17.245,NA
-87.625,17.245,53.82
-87.555,17.245,258.39
-87.485,17.245,NA
-87.415,17.245,NA
-88.465,17.175,NA
-88.395,17.175,NA
-88.325,17.175,NA
-88.255,17.175,NA
-88.185,17.175,NA
-88.115,17.175,NA
-88.045,17.175,40.14
-87.975,17.175,NA
-87.905,17.175,209.52
-87.835,17.175,NA
-87.765,17.175,NA
-87.695,17.175,NA
-87.625,17.175,314.01
-87.555,17.175,NA
-87.485,17.175,NA
-87.415,17.175,NA
-88.465,17.105,NA
-88.395,17.105,NA
-88.325,17.105,NA
-88.255,17.105,NA
-88.185,17.105,NA
-88.115,17.105,NA
-88.045,17.105,14.04
-87.975,17.105,134.46
-87.905,17.105,NA
-87.835,17.105,NA
-87.765,17.105,NA
-87.695,17.105,NA
-87.625,17.105,29.7
-87.555,17.105,NA
-87.485,17.105,NA
-87.415,17.105,NA
-88.465,17.035,NA
-88.395,17.035,NA
-88.325,17.035,NA
-88.255,17.035,NA
-88.185,17.035,NA
-88.115,17.035,NA
-88.045,17.035,15.39
-87.975,17.035,20.52
-87.905,17.035,NA
-87.835,17.035,NA
-87.765,17.035,NA
-87.695,17.035,NA
-87.625,17.035,NA
-87.555,17.035,NA
-87.485,17.035,NA
-87.415,17.035,NA
-88.465,16.965,NA
-88.395,16.965,NA
-88.325,16.965,NA
-88.255,16.965,NA
-88.185,16.965,NA
-88.115,16.965,NA
-88.045,16.965,396.99
-87.975,16.965,NA
-87.905,16.965,NA
-87.835,16.965,NA
-87.765,16.965,NA
-87.695,16.965,NA
-87.625,16.965,NA
-87.555,16.965,NA
-87.485,16.965,NA
-87.415,16.965,NA
-88.465,16.895,NA
-88.395,16.895,NA
-88.325,16.895,NA
-88.255,16.895,NA
-88.185,16.895,NA
-88.115,16.895,59.4
-88.045,16.895,364.32
-87.975,16.895,NA
-87.905,16.895,NA
-87.835,16.895,NA
-87.765,16.895,293.13
-87.695,16.895,727.2
-87.625,16.895,NA
-87.555,16.895,NA
-87.485,16.895,NA
-87.415,16.895,NA
-88.465,16.825,NA
-88.395,16.825,NA
-88.325,16.825,NA
-88.255,16.825,NA
-88.185,16.825,88.11
-88.115,16.825,18.72
-88.045,16.825,NA
-87.975,16.825,NA
-87.905,16.825,NA
-87.835,16.825,326.97
-87.765,16.825,232.56
-87.695,16.825,NA
-87.625,16.825,NA
-87.555,16.825,NA
-87.485,16.825,NA
-87.415,16.825,NA
-88.465,16.755,NA
-88.395,16.755,NA
-88.325,16.755,NA
-88.255,16.755,NA
-88.185,16.755,NA
-88.115,16.755,383.58
-88.045,16.755,NA
-87.975,16.755,NA
-87.905,16.755,NA
-87.835,16.755,422.28
-87.765,16.755,244.44
-87.695,16.755,NA
-87.625,16.755,NA
-87.555,16.755,NA
-87.485,16.755,NA
-87.415,16.755,NA
-88.465,16.685,NA
-88.395,16.685,NA
-88.325,16.685,NA
-88.255,16.685,NA
-88.185,16.685,142.2
-88.115,16.685,490.05
-88.045,16.685,NA
-87.975,16.685,NA
-87.905,16.685,NA
-87.835,16.685,NA
-87.765,16.685,NA
-87.695,16.685,NA
-87.625,16.685,NA
-87.555,16.685,NA
-87.485,16.685,NA
-87.415,16.685,NA
-88.465,16.615,NA
-88.395,16.615,NA
-88.325,16.615,28.71
-88.255,16.615,NA
-88.185,16.615,558.81
-88.115,16.615,446.31
-88.045,16.615,612.99
-87.975,16.615,NA
-87.905,16.615,NA
-87.835,16.615,NA
-87.765,16.615,NA
-87.695,16.615,NA
-87.625,16.615,NA
-87.555,16.615,NA
-87.485,16.615,NA
-87.415,16.615,NA
-88.465,16.545,NA
-88.395,16.545,NA
-88.325,16.545,NA
-88.255,16.545,19.8
-88.185,16.545,242.64
-88.115,16.545,332.19
-88.045,16.545,536.31
-87.975,16.545,306.09
-87.905,16.545,NA
-87.835,16.545,NA
-87.765,16.545,NA
-87.695,16.545,NA
-87.625,16.545,NA
-87.555,16.545,NA
-87.485,16.545,NA
-87.415,16.545,NA
-88.465,16.475,NA
-88.395,16.475,1.44
-88.325,16.475,223.92
-88.255,16.475,219.15
-88.185,16.475,36
-88.115,16.475,87.93
-88.045,16.475,405.81
-87.975,16.475,192.51
-87.905,16.475,NA
-87.835,16.475,NA
-87.765,16.475,NA
-87.695,16.475,NA
-87.625,16.475,NA
-87.555,16.475,NA
-87.485,16.475,NA
-87.415,16.475,NA
-88.465,16.405,NA
-88.395,16.405,NA
-88.325,16.405,350.1
-88.255,16.405,54.9
-88.185,16.405,2.61
-88.115,16.405,322.11
-88.045,16.405,448.92
-87.975,16.405,NA
-87.905,16.405,NA
-87.835,16.405,NA
-87.765,16.405,NA
-87.695,16.405,NA
-87.625,16.405,NA
-87.555,16.405,NA
-87.485,16.405,NA
-87.415,16.405,NA
-88.465,16.335,NA
-88.395,16.335,34.65
-88.325,16.335,218.52
-88.255,16.335,56.88
-88.185,16.335,190.89
-88.115,16.335,299.7
-88.045,16.335,NA
-87.975,16.335,NA
-87.905,16.335,NA
-87.835,16.335,NA
-87.765,16.335,NA
-87.695,16.335,NA
-87.625,16.335,NA
-87.555,16.335,NA
-87.485,16.335,NA
-87.415,16.335,NA
-88.465,16.265,NA
-88.395,16.265,72.9
-88.325,16.265,68.85
-88.255,16.265,26.19
-88.185,16.265,391.14
-88.115,16.265,NA
-88.045,16.265,NA
-87.975,16.265,NA
-87.905,16.265,NA
-87.835,16.265,NA
-87.765,16.265,NA
-87.695,16.265,NA
-87.625,16.265,NA
-87.555,16.265,NA
-87.485,16.265,NA
-87.415,16.265,NA
-88.465,16.195,NA
-88.395,16.195,294.03
-88.325,16.195,315.63
-88.255,16.195,48.15
-88.185,16.195,43.56
-88.115,16.195,NA
-88.045,16.195,NA
-87.975,16.195,NA
-87.905,16.195,NA
-87.835,16.195,NA
-87.765,16.195,NA
-87.695,16.195,NA
-87.625,16.195,NA
-87.555,16.195,NA
-87.485,16.195,NA
-87.415,16.195,NA
-88.465,16.125,NA
-88.395,16.125,285.75
-88.325,16.125,319.5
-88.255,16.125,323.46
-88.185,16.125,NA
-88.115,16.125,NA
-88.045,16.125,NA
-87.975,16.125,NA
-87.905,16.125,NA
-87.835,16.125,NA
-87.765,16.125,NA
-87.695,16.125,NA
-87.625,16.125,NA
-87.555,16.125,NA
-87.485,16.125,NA
-87.415,16.125,NA
-88.465,16.055,NA
-88.395,16.055,149.85
-88.325,16.055,260.73
-88.255,16.055,NA
-88.185,16.055,NA
-88.115,16.055,NA
-88.045,16.055,NA
-87.975,16.055,NA
-87.905,16.055,NA
-87.835,16.055,NA
-87.765,16.055,NA
-87.695,16.055,NA
-87.625,16.055,NA
-87.555,16.055,NA
-87.485,16.055,NA
-87.415,16.055,NA
-88.465,15.985,NA
-88.395,15.985,NA
-88.325,15.985,NA
-88.255,15.985,NA
-88.185,15.985,NA
-88.115,15.985,NA
-88.045,15.985,NA
-87.975,15.985,NA
-87.905,15.985,NA
-87.835,15.985,NA
-87.765,15.985,NA
-87.695,15.985,NA
-87.625,15.985,NA
-87.555,15.985,NA
-87.485,15.985,NA
-87.415,15.985,NA
