"x","y","MPA_1","MPA_2","MPA_3","MPA_4","MPA_5","MPA_6","MPA_7","MPA_8","MPA_9","MPA_10"
-88.465,18.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,18.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,18.085,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.255,18.085,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.185,18.085,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.115,18.085,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.045,18.085,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-87.975,18.085,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-87.905,18.085,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-87.835,18.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.765,18.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.695,18.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.625,18.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.555,18.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.485,18.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.415,18.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.465,18.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,18.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,18.015,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.255,18.015,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.185,18.015,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.115,18.015,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.045,18.015,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-87.975,18.015,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-87.905,18.015,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-87.835,18.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.765,18.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.695,18.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.625,18.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.555,18.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.485,18.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.415,18.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.465,17.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.945,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.255,17.945,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.185,17.945,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-88.115,17.945,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-88.045,17.945,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.975,17.945,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.905,17.945,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.835,17.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.765,17.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.695,17.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.625,17.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.555,17.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.485,17.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.415,17.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.465,17.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.875,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.255,17.875,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.185,17.875,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-88.115,17.875,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-88.045,17.875,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.975,17.875,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.905,17.875,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.835,17.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.765,17.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.695,17.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.625,17.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.555,17.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.485,17.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.415,17.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.465,17.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.805,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.255,17.805,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.185,17.805,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-88.115,17.805,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-88.045,17.805,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.975,17.805,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.905,17.805,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.835,17.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.765,17.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.695,17.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.625,17.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.555,17.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.485,17.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.415,17.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.465,17.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.735,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.255,17.735,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA
-88.185,17.735,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE
-88.115,17.735,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE
-88.045,17.735,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.975,17.735,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.905,17.735,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE
-87.835,17.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.765,17.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.695,17.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.625,17.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.555,17.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.485,17.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.415,17.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.465,17.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.395,17.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.325,17.665,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-88.255,17.665,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA
-88.185,17.665,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA
-88.115,17.665,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA
-88.045,17.665,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-87.975,17.665,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-87.905,17.665,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
-87.835,17.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.765,17.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
