"x","y","seagrass_ras"
-87.835,17.385,977.219970703125
-87.765,17.385,NA
-87.695,17.385,NA
-87.625,17.385,NA
-87.555,17.385,93.5999984741211
-87.485,17.385,31.7700004577637
-87.415,17.385,NA
-88.465,17.315,NA
-88.395,17.315,NA
-88.325,17.315,NA
-88.255,17.315,NA
-88.185,17.315,449.190002441406
-88.115,17.315,1004.13000488281
-88.045,17.315,53.5499992370605
-87.975,17.315,NA
-87.905,17.315,973.710021972656
-87.835,17.315,1000.71002197266
-87.765,17.315,NA
-87.695,17.315,NA
-87.625,17.315,NA
-87.555,17.315,604.440002441406
-87.485,17.315,NA
-87.415,17.315,NA
-88.465,17.245,NA
-88.395,17.245,NA
-88.325,17.245,NA
-88.255,17.245,NA
-88.185,17.245,NA
-88.115,17.245,3.42000007629395
-88.045,17.245,57.4199981689453
-87.975,17.245,NA
-87.905,17.245,840.330017089844
-87.835,17.245,0.540000021457672
-87.765,17.245,NA
-87.695,17.245,NA
-87.625,17.245,4.67999982833862
-87.555,17.245,705.960021972656
-87.485,17.245,NA
-87.415,17.245,NA
-88.465,17.175,NA
-88.395,17.175,NA
-88.325,17.175,NA
-88.255,17.175,NA
-88.185,17.175,NA
-88.115,17.175,59.0400009155273
-88.045,17.175,0.360000014305115
-87.975,17.175,NA
-87.905,17.175,376.829986572266
-87.835,17.175,NA
-87.765,17.175,NA
-87.695,17.175,NA
-87.625,17.175,125.279998779297
-87.555,17.175,NA
-87.485,17.175,NA
-87.415,17.175,NA
-88.465,17.105,NA
-88.395,17.105,NA
-88.325,17.105,NA
-88.255,17.105,NA
-88.185,17.105,1.79999995231628
-88.115,17.105,NA
-88.045,17.105,627.390014648438
-87.975,17.105,NA
-87.905,17.105,NA
-87.835,17.105,NA
-87.765,17.105,NA
-87.695,17.105,NA
-87.625,17.105,1.52999997138977
-87.555,17.105,NA
-87.485,17.105,NA
-87.415,17.105,NA
-88.465,17.035,NA
-88.395,17.035,NA
-88.325,17.035,NA
-88.255,17.035,NA
-88.185,17.035,NA
-88.115,17.035,NA
-88.045,17.035,466.380004882812
-87.975,17.035,NA
-87.905,17.035,NA
-87.835,17.035,NA
-87.765,17.035,NA
-87.695,17.035,NA
-87.625,17.035,NA
-87.555,17.035,NA
-87.485,17.035,NA
-87.415,17.035,NA
-88.465,16.965,NA
-88.395,16.965,NA
-88.325,16.965,NA
-88.255,16.965,NA
-88.185,16.965,NA
-88.115,16.965,137.339996337891
-88.045,16.965,46.0800018310547
-87.975,16.965,NA
-87.905,16.965,NA
-87.835,16.965,NA
-87.765,16.965,NA
-87.695,16.965,NA
-87.625,16.965,NA
-87.555,16.965,NA
-87.485,16.965,NA
-87.415,16.965,NA
-88.465,16.895,NA
-88.395,16.895,NA
-88.325,16.895,NA
-88.255,16.895,NA
-88.185,16.895,NA
-88.115,16.895,657.539978027344
-88.045,16.895,217.259994506836
-87.975,16.895,NA
-87.905,16.895,NA
-87.835,16.895,NA
-87.765,16.895,489.600006103516
-87.695,16.895,174.509994506836
-87.625,16.895,NA
-87.555,16.895,NA
-87.485,16.895,NA
-87.415,16.895,NA
-88.465,16.825,NA
-88.395,16.825,NA
-88.325,16.825,NA
-88.255,16.825,NA
-88.185,16.825,23.8500003814697
-88.115,16.825,846.090026855469
-88.045,16.825,NA
-87.975,16.825,NA
-87.905,16.825,NA
-87.835,16.825,596.880004882812
-87.765,16.825,241.199996948242
-87.695,16.825,NA
-87.625,16.825,NA
-87.555,16.825,NA
-87.485,16.825,NA
-87.415,16.825,NA
-88.465,16.755,NA
-88.395,16.755,NA
-88.325,16.755,NA
-88.255,16.755,NA
-88.185,16.755,NA
-88.115,16.755,682.380004882812
-88.045,16.755,NA
-87.975,16.755,NA
-87.905,16.755,NA
-87.835,16.755,18.3600006103516
-87.765,16.755,26.9099998474121
-87.695,16.755,NA
-87.625,16.755,NA
-87.555,16.755,NA
-87.485,16.755,NA
-87.415,16.755,NA
-88.465,16.685,NA
-88.395,16.685,NA
-88.325,16.685,NA
-88.255,16.685,NA
-88.185,16.685,25.3799991607666
-88.115,16.685,176.309997558594
-88.045,16.685,NA
-87.975,16.685,NA
-87.905,16.685,NA
-87.835,16.685,NA
-87.765,16.685,NA
-87.695,16.685,NA
-87.625,16.685,NA
-87.555,16.685,NA
-87.485,16.685,NA
-87.415,16.685,NA
-88.465,16.615,NA
-88.395,16.615,NA
-88.325,16.615,NA
-88.255,16.615,NA
-88.185,16.615,37.9799995422363
-88.115,16.615,30.3299999237061
-88.045,16.615,14.6700000762939
-87.975,16.615,NA
-87.905,16.615,NA
-87.835,16.615,NA
-87.765,16.615,NA
-87.695,16.615,NA
-87.625,16.615,NA
-87.555,16.615,NA
-87.485,16.615,NA
-87.415,16.615,NA
-88.465,16.545,NA
-88.395,16.545,NA
-88.325,16.545,NA
-88.255,16.545,NA
-88.185,16.545,31.7700004577637
-88.115,16.545,50.7599983215332
-88.045,16.545,47.8800010681152
-87.975,16.545,26.8199996948242
-87.905,16.545,NA
