"x","y",""
-88.465,17.945,NA
-88.395,17.945,NA
-88.325,17.945,386.82
-88.255,17.945,30.24
-88.185,17.945,255.6
-88.115,17.945,353.07
-88.045,17.945,NA
-87.975,17.945,262.71
-87.905,17.945,NA
-87.835,17.945,NA
-87.765,17.945,NA
-87.695,17.945,NA
-87.625,17.945,NA
-87.555,17.945,NA
-87.485,17.945,NA
-87.415,17.945,NA
-88.465,17.875,NA
-88.395,17.875,NA
-88.325,17.875,7.65
-88.255,17.875,198.81
-88.185,17.875,849.33
-88.115,17.875,926.19
-88.045,17.875,963.9
-87.975,17.875,569.43
-87.905,17.875,NA
-87.835,17.875,NA
-87.765,17.875,NA
-87.695,17.875,NA
-87.625,17.875,NA
-87.555,17.875,NA
-87.485,17.875,NA
-87.415,17.875,NA
-88.465,17.805,NA
-88.395,17.805,NA
-88.325,17.805,0.45
-88.255,17.805,219.6
-88.185,17.805,998.46
-88.115,17.805,998.37
-88.045,17.805,995.13
-87.975,17.805,81.72
-87.905,17.805,NA
-87.835,17.805,NA
-87.765,17.805,NA
-87.695,17.805,NA
-87.625,17.805,NA
-87.555,17.805,NA
-87.485,17.805,NA
-87.415,17.805,NA
-88.465,17.735,NA
-88.395,17.735,NA
-88.325,17.735,NA
-88.255,17.735,189.81
-88.185,17.735,414.27
-88.115,17.735,992.7
-88.045,17.735,777.24
-87.975,17.735,NA
-87.905,17.735,NA
-87.835,17.735,NA
-87.765,17.735,NA
-87.695,17.735,NA
-87.625,17.735,NA
-87.555,17.735,NA
-87.485,17.735,NA
-87.415,17.735,NA
-88.465,17.665,NA
-88.395,17.665,NA
-88.325,17.665,10.8
-88.255,17.665,877.77
-88.185,17.665,363.15
-88.115,17.665,694.71
-88.045,17.665,918.09
-87.975,17.665,NA
-87.905,17.665,NA
-87.835,17.665,NA
-87.765,17.665,NA
-87.695,17.665,NA
-87.625,17.665,NA
-87.555,17.665,NA
-87.485,17.665,NA
-87.415,17.665,NA
-88.465,17.595,NA
-88.395,17.595,NA
-88.325,17.595,NA
-88.255,17.595,998.55
-88.185,17.595,249.03
-88.115,17.595,540.45
-88.045,17.595,245.61
-87.975,17.595,NA
-87.905,17.595,NA
-87.835,17.595,NA
-87.765,17.595,132.39
-87.695,17.595,NA
-87.625,17.595,NA
-87.555,17.595,NA
-87.485,17.595,NA
-87.415,17.595,NA
-88.465,17.525,NA
-88.395,17.525,3.33
-88.325,17.525,6.39
-88.255,17.525,39.24
-88.185,17.525,855.9
-88.115,17.525,985.77
-88.045,17.525,7.29
-87.975,17.525,NA
-87.905,17.525,NA
-87.835,17.525,0.72
-87.765,17.525,128.16
-87.695,17.525,NA
-87.625,17.525,NA
-87.555,17.525,NA
-87.485,17.525,NA
-87.415,17.525,NA
-88.465,17.455,NA
-88.395,17.455,NA
-88.325,17.455,170.82
-88.255,17.455,177.12
-88.185,17.455,NA
-88.115,17.455,NA
-88.045,17.455,371.97
-87.975,17.455,NA
-87.905,17.455,642.87
-87.835,17.455,545.4
-87.765,17.455,NA
